Date,Time,Lat,Lon
18/1/2026,6:54:1,14.214263,101.17931
18/1/2026,6:54:2,14.214266,101.179319
18/1/2026,6:54:3,14.214269,101.179326
18/1/2026,6:54:4,14.214272,101.179333
18/1/2026,6:54:5,14.214277,101.179339
18/1/2026,6:54:6,14.214282,101.179342
18/1/2026,6:54:7,14.214287,101.179344
18/1/2026,6:54:8,14.214294,101.179346
18/1/2026,6:54:9,14.2143,101.179346
18/1/2026,6:54:10,14.214307,101.179345
18/1/2026,6:54:11,14.214316,101.179346
18/1/2026,6:54:12,14.214325,101.179348
18/1/2026,6:54:13,14.214332,101.17935
18/1/2026,6:54:14,14.214339,101.179355
18/1/2026,6:54:15,14.214348,101.179362
18/1/2026,6:54:16,14.214358,101.179365
18/1/2026,6:54:17,14.214365,101.179365
18/1/2026,6:54:18,14.214373,101.179368
18/1/2026,6:54:19,14.214382,101.17937
18/1/2026,6:54:20,14.214388,101.179372
18/1/2026,6:54:21,14.214395,101.179377
18/1/2026,6:54:22,14.214404,101.179381
18/1/2026,6:54:23,14.214408,101.179381
18/1/2026,6:54:24,14.214415,101.179381
18/1/2026,6:54:25,14.214421,101.179377
18/1/2026,6:54:26,14.214425,101.179373
18/1/2026,6:54:27,14.214429,101.179367
18/1/2026,6:54:28,14.214432,101.179361
18/1/2026,6:54:29,14.214433,101.179355
18/1/2026,6:54:30,14.214437,101.179349
18/1/2026,6:54:31,14.214439,101.179341
18/1/2026,6:54:32,14.214439,101.179334
18/1/2026,6:54:33,14.214438,101.179327
18/1/2026,6:54:34,14.214434,101.179319
18/1/2026,6:54:35,14.214431,101.179313
18/1/2026,6:54:36,14.214431,101.179306
18/1/2026,6:54:37,14.214431,101.179297
18/1/2026,6:54:38,14.214431,101.17929
18/1/2026,6:54:39,14.214431,101.179283
18/1/2026,6:54:40,14.214431,101.179273
18/1/2026,6:54:41,14.214432,101.179264
18/1/2026,6:54:42,14.214432,101.179259
18/1/2026,6:54:43,14.214434,101.17925
18/1/2026,6:54:44,14.214435,101.17924
18/1/2026,6:54:45,14.214433,101.179231
18/1/2026,6:54:46,14.214433,101.179224
18/1/2026,6:54:47,14.214431,101.179217
18/1/2026,6:54:48,14.214425,101.179211
18/1/2026,6:54:49,14.21442,101.179205
18/1/2026,6:54:50,14.214416,101.179199
18/1/2026,6:54:51,14.214409,101.179193
18/1/2026,6:54:52,14.214401,101.179188
18/1/2026,6:54:53,14.214394,101.179183
18/1/2026,6:54:54,14.214387,101.179176
18/1/2026,6:54:55,14.21438,101.179169
18/1/2026,6:54:56,14.214375,101.179165
18/1/2026,6:54:57,14.214369,101.17916
18/1/2026,6:54:58,14.214363,101.179153
18/1/2026,6:54:59,14.214356,101.179148
18/1/2026,6:55:0,14.214351,101.179144
18/1/2026,6:55:1,14.214345,101.17914
18/1/2026,6:55:2,14.214339,101.179137
18/1/2026,6:55:3,14.21433,101.179136
18/1/2026,6:55:4,14.214322,101.179134
18/1/2026,6:55:5,14.214316,101.179129
18/1/2026,6:55:6,14.214311,101.179124
18/1/2026,6:55:7,14.214303,101.179119
18/1/2026,6:55:8,14.214299,101.179115
18/1/2026,6:55:9,14.214297,101.179108
18/1/2026,6:55:10,14.214294,101.179099
18/1/2026,6:55:11,14.214289,101.179093
18/1/2026,6:55:12,14.214287,101.179087
18/1/2026,6:55:13,14.214281,101.17908
18/1/2026,6:55:14,14.214274,101.179077
18/1/2026,6:55:15,14.214268,101.179075
18/1/2026,6:55:16,14.214261,101.179073
18/1/2026,6:55:17,14.214248,101.17907
18/1/2026,6:55:18,14.214239,101.179067
18/1/2026,6:55:19,14.214231,101.179068
18/1/2026,6:55:20,14.214225,101.179066
18/1/2026,6:55:21,14.214216,101.179062
18/1/2026,6:55:22,14.214209,101.179059
18/1/2026,6:55:23,14.214204,101.179057
18/1/2026,6:55:24,14.214197,101.179055
18/1/2026,6:55:25,14.214191,101.179051
18/1/2026,6:55:26,14.214185,101.179051
18/1/2026,6:55:27,14.214177,101.179051
18/1/2026,6:55:28,14.21417,101.179052
18/1/2026,6:55:29,14.214165,101.179056
